"county","tract","cbsa20","CountyName","CBSAName20","pop20","afact"
"County code","Tract","Core-based statistical area code","County name","2020 CBSA name","Total population (2020 Census)","tract-to-cbsa20 allocation factor"
"11001","0033,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3824,1 
"11001","0033,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2434,1 
"11001","0034,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",5120,1 
"11001","0035,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4801,1 
"11001","0036,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4775,1 
"11001","0037,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2916,1 
"11001","0037,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2906,1 
"11001","0038,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1800,1 
"11001","0038,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3911,1 
"11001","0039,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2598,1 
"11001","0039,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2022,1 
"11001","0040,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3941,1 
"11001","0040,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3291,1 
"11001","0041,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2836,1 
"11001","0042,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3548,1 
"11001","0042,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2850,1 
"11001","0043,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4436,1 
"11001","0044,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3430,1 
"11001","0044,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2755,1 
"11001","0046,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3543,1 
"11001","0047,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3934,1 
"11001","0047,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3331,1 
"11001","0047,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1945,1 
"11001","0048,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2820,1 
"11001","0048,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3634,1 
"11001","0049,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3380,1 
"11001","0049,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3449,1 
"11001","0050,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2012,1 
"11001","0050,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2143,1 
"11001","0050,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3861,1 
"11001","0052,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3408,1 
"11001","0052,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2979,1 
"11001","0053,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2518,1 
"11001","0053,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3215,1 
"11001","0055,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2303,1 
"11001","0055,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2968,1 
"11001","0055,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2492,1 
"11001","0056,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2900,1 
"11001","0056,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4100,1 
"11001","0058,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1672,1 
"11001","0058,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2145,1 
"11001","0059,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2617,1 
"11001","0064,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2481,1 
"11001","0065,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2609,1 
"11001","0066,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2164,1 
"11001","0067,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3927,1 
"11001","0068,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2238,1 
"11001","0068,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2580,1 
"11001","0068,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2429,1 
"11001","0069,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2799,1 
"11001","0070,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2697,1 
"11001","0071,00","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3218,1 
"11001","0072,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2985,1 
"11001","0072,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4303,1 
"11001","0072,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3748,1 
"11001","0073,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3841,1 
"11001","0073,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4410,1 
"11001","0074,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",1259,1 
"11001","0074,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2613,1 
"11001","0074,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3637,1 
"11001","0074,06","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3528,1 
"11001","0074,07","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3491,1 
"11001","0074,08","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2867,1 
"11001","0074,09","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3835,1 
"11001","0075,02","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4687,1 
"11001","0075,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2528,1 
"11001","0075,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2730,1 
"11001","0076,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4693,1 
"11001","0076,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4185,1 
"11001","0076,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3803,1 
"11001","0076,05","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3663,1 
"11001","0077,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",5227,1 
"11001","0077,07","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3927,1 
"11001","0077,08","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2574,1 
"11001","0077,09","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2072,1 
"11001","0078,03","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4590,1 
"11001","0078,04","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3499,1 
"11001","0078,06","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3457,1 
"11001","0078,07","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",2114,1 
"11001","0078,08","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3792,1 
"11001","0078,09","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",3155,1 
"11001","0079,01","47900","District of Columbia DC","Washington-Arlington-Alexandria, DC-VA-MD-WV",4148,1 
